keys,en,zh
cg_room,-------------------------------,------------------------------------------
cg_room1_1,So fast at night,天怎么快就亮了么
cg_room1_2,Oh fuck. Work overtime today,哦对。今天要加班
cg_room1_3,I have to go out quickly,要赶快出门才行啊
cg_room2_1,I have already arrived home，but I still have to go to work when I should have a rest.,明明都已经到家了，本来应该休息的时间居然还要去工作。
cg_room2_2,Life like this every day is too boring.,哎。。每天这样的生活太无趣了。
cg_room2_3,But if I want to save a lot of money， I have to bear with it and think about how to fix the bug.,但是我想要存一笔钱，还是先忍一下把，先想想如何修复bug把
cg_room_computer_stop,Go to work first，no time to play on the computer,先去上班吧，没时间玩电脑了！
cg_room_computer1,I'm so tired， let's play games for a while,好累啊，先玩吧游戏把
cg_room_computer2,Just play for a while and stop playing,就玩一会就不玩了
cg_room_computer3,Society is getting more and more involved and getting tired,社会越来越内卷，越来越累
cg_room_computer4,If can go back in time， just start again,如果能回到过去，重新开始就好了
cg_room_computer5,Wait， what's going on,等等，怎么回事
cg_room_computer6,Ah ah ah ah ah ah ah. . . .,啊啊啊啊啊啊。。。。
cg_room_door1,Did not eat breakfast,早饭也没吃
cg_room_door2,Forget it， just eat on the road,算了路上随便吃点吧
cg_office,----,----
cg_office1,Damn it's going to work overtime again,可恶又要加班了
cg_office2,I didn’t expect many people around to work overtime,没想到周围怎么多人还来加班
cg_office3,Why are there so many errors?,怎么全是报错
cg_office4,Staying up all night and working overtime continuously， I feel my body can’t stand it anymore， so I’ll take a leave today,连续的熬夜加班，我感觉身体已经受不了了，今天就请个假把
cg_office_door1,Maybe I will be better at home,回家或许思路会好一点
cg_office_door2,I can’t go back now， I’m going to ask the boss for a leave,现在还不能回去，我要先去找老板请个假
cg_npc1_1,When can i get off work,什么时候才能下班啊
cg_npc1_2,i have yellow poached eggs tomorrow morning,明天早上就吃流黄荷包蛋吧
cg_npc1_3,I’m very uncomfortable with my boss for a long time,我其实已经看老板不爽很久了
cg_npc1_4,Had it not been for the wife and children at home， I would have resigned long ago,要不是家里还有老婆孩子要养，我早就辞职了
cg_boss1,You finally came,你终于来了
cg_boss2,How is the work progress,交代的事情如何
cg_boss3,Boss， the project is still a bit bug， it will take some time,老板，项目还有点bug，还需要一点时间
cg_boss4,Well， I'm giving you a chance， it must be online tomorrow,呢行，我在给你一次机会，明天必须上线
cg_boss5,thank you boss,谢谢老板
cg_boss6,Boss，I have another business,老板我还有个事情
cg_boss7,whats the matter,什么事情
cg_boss8,Boss，I have been working overtime seriously recently and have some physical problems. Can I take a break?,老板我最近加班严重，身体有点问题，能不能休息一段时间
cg_boss9,Do you know how many young people today envy your current job?,你知道现在的年轻人有多少羡慕你现在的工作么？
cg_boss10,You don't do it， some people do it,你不干有的是人干
cg_boss11,。。。。,。。。。
cg_boss12,But seeing how hard you are，I will let you go back today and go home and finish the rest of the work.,不过看你蛮辛苦的样子，今天就让你先回去把，回家吧剩下的工作做完吧
cg_boss_1,Didn’t you approve you to take a half-day holiday， did you regret it?,不是批准你放假半天么，你难道反悔了？
cg_main1,I feel dizzy. .,头好晕。。
cg_main2,where is this place,这里是什么地方
cg_main3,I seemed to be sucked into the screen before,我之前好像被吸入的屏幕里面
cg_main4,Is this the world of games?,难道这里是游戏的世界？
cg_main5,Let meexplore around for clues,先四处探索一下寻找线索把
jump_cg_ui,Skip the opening,跳过开场
