keys,en,zh
wood_pickaxe,wooden pickaxe,木镐子
wood_pickaxe_info,Very fragile or even unable to dig the stone,非常脆弱甚至挖不动石头
wood_shovel,wooden shovel,木铲子
wood_shovel_info,Fragile-looking shovel,看上去很脆弱的铲子
wood_axe,wooden axe,木斧子
wood_axe_info,Fragile-looking axe,看上去很脆弱的斧子
wood_hoe,wooden hoe,木锄头
wood_hoe_info,Fragile-looking hoe,看上去很脆弱的锄头
wood_sword,wooden sword,木剑
wood_sword_info,Fragile-looking sword,看上去很脆弱的剑
wood_hammer,wooden hammer,木锤子
wood_hammer_info,Very fragile can’t even hit rocks,非常脆弱甚至砸不动石头
lithic_core,lithic core,石核
lithic_core_info,Stones that have been simply beaten,经过简单打制过的石头
